Mon Sep 25 22:38:05 2023    profile_results

         21061 function calls (20972 primitive calls) in 165.701 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:56(<lambda>)
       26    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:33(__init__)
       26    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:94(update)
       26    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:111(_current)
       26    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:120(digest)
       26    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hmac.py:136(new)
       52    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\hashlib.py:146(__hash_new)
      102    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\process.py:37(current_process)
        1    0.000    0.000    4.440    4.440 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:49(Manager)
       27    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:65(Lock)
       13    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:75(Condition)
       52    0.000    0.000    0.001    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:80(Semaphore)
       14    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:85(BoundedSemaphore)
       13    0.000    0.000    0.003    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:90(Event)
       14    0.000    0.000    0.003    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:100(Queue)
      106    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:187(get_context)
       93    0.000    0.000    0.000    0.000 C:\Users\EunKyue Sohn\AppData\Local\Programs\Python\Python38\lib\multiprocessing\context.py:197(get_start_method)
